Materials Id,Formula,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Volume,Has Bandstructure,Crystal System
mp-762722,LiCoSiO4,P21nb,-2.353,0point082,1.411,28,3.112,337.098,True,orthorhombic
mp-762892,LiCoSiO4,Pcmn,-2.352,0point083,0.77,28,3.736,280.858,True,orthorhombic
mp-763260,LiCoSiO4,Pc21n,-2.352,0point083,1.367,28,2.935,357.496,True,orthorhombic
mp-762888,LiCoSiO4,Cmcm,-2.351,0point084,0.871,14,3.762,139.432,True,orthorhombic
mp-779192,LiCoSiO4,P21nb,-2.351,0point084,1.323,28,3.0,349.762,True,orthorhombic
mp-763360,Li2Co2(SiO3)3,Pnma,-2.574,0point094,2.842,64,3.249,735.894,True,orthorhombic
mp-762860,LiCoSiO4,Pcmn,-2.339,0point097,0.736,28,3.605,291.06,True,orthorhombic
mp-762247,LiCoSiO4,P212121,-2.327,0point109,0.702,28,3.203,327.583,True,orthorhombic
mp-762883,LiCoSiO4,Imcm,-2.291,0point144,0.511,14,4.15,126.395,True,orthorhombic
mp-763534,Li2Co2SiO6,Ccme,-2.012,0point19,0.717,22,3.927,216.338,True,orthorhombic
mp-767711,Li2Mn2Si4O11,P1,-2.904,0point012,0.904,38,3.098,441.742,True,triclinic
mp-868265,Li2Mn4Si4O13,P1,-2.755,0point019,2.346,46,3.481,528.536,True,triclinic
mp-761470,Li2Mn2Si5O13,P1,-2.946,0point02,3.286,44,3.009,521.131,True,triclinic
mp-868673,Li15Mn15SiO32,P1,-2.194,0point028,0.311,63,4.093,595.723,False,triclinic
mp-761381,Li2Mn5(Si2O7)2,P1,-2.69,0point031,0.0,25,3.434,302.156,True,triclinic
mp-766967,Li2Mn3(Si3O8)2,P1,-2.894,0point043,2.865,54,3.012,665.118,True,triclinic
mp-767443,Li2Mn5Si5O16,P1,-2.736,0point045,2.164,28,2.985,381.117,True,triclinic
mp-850240,Li2Mn3(SiO4)2,P1,-2.61,0point05,2.045,45,3.062,590.331,True,triclinic
mp-850159,Li2Mn(Si2O5)2,P1,-2.958,0point054,3.036,34,2.633,430.361,True,triclinic
mp-761439,LiMn(SiO3)2,P1,-2.801,0point059,0.714,80,3.314,858.022,True,triclinic
mp-768071,Li5Mn17(SiO16)2,P1,-2.172,0point059,0.348,56,4.201,607.507,True,triclinic
mp-761417,Li2Mn2Si4O11,P1,-2.847,0point069,0.0,38,2.897,472.42,True,triclinic
mp-868526,Li9Mn5(SiO8)2,P1,-2.372,0point07,1.154,32,3.706,290.951,True,triclinic
mp-767282,Li2MnSi3O8,P1,-2.872,0point082,2.655,14,2.497,186.943,True,triclinic
mp-761967,LiMnSi3O8,P1,-2.868,0point09,1.055,26,2.963,307.264,False,triclinic
mp-767982,Li3Mn2(SiO4)2,P1,-2.605,0point09,0.0,15,2.938,177.985,True,triclinic
mp-761430,Li7Mn11(Si3O16)2,P1,-2.439,0point092,0.361,56,3.909,566.407,False,triclinic
mp-780147,LiMnSiO4,P1,-2.58,0point098,0.995,28,3.294,310.44,True,triclinic
mp-767274,Li3MnSi2O7,P1,-2.68,0point099,1.161,13,2.709,149.499,True,triclinic
mp-780196,LiMnSiO4,P1,-2.577,0point1,0.409,28,2.984,342.663,True,triclinic
mp-761735,Li2Fe2Si4O11,P1,-2.837,0point013,1.892,38,3.189,431.059,True,triclinic
mp-765915,LiFe(SiO3)2,P1,-2.791,0point03,3.056,20,2.2,324.509,True,triclinic
mp-868566,LiFe(SiO3)2,P1,-2.79,0point031,2.427,30,3.193,335.392,True,triclinic
mp-761402,Li2Fe5(Si2O7)2,P1,-2.563,0point031,0.0,25,3.492,299.319,True,triclinic
mp-761459,LiFeSi3O8,P1,-2.896,0point032,3.342,26,2.76,330.953,False,triclinic
mp-761705,Li2Fe4Si4O13,P1,-2.632,0point032,3.118,46,3.599,514.551,False,triclinic
mp-761475,Li2Fe2Si5O13,P1,-2.875,0point034,3.394,44,3.086,510.174,True,triclinic
mp-773691,LiFe(SiO3)2,P1,-2.785,0point036,2.596,80,3.251,878.288,False,triclinic
mp-767996,Li3Fe2(SiO4)2,P1,-2.585,0point039,1.626,15,2.951,178.21,True,triclinic
mp-761820,LiFeSi3O8,P1,-2.886,0point041,3.16,26,2.703,337.873,True,triclinic
mp-767726,Li2Fe2Si3O10,P1,-2.694,0point044,2.325,34,2.821,435.364,True,triclinic
mp-763810,Li17Fe6(Si2O7)6,P1,-2.691,0point046,0.0,77,2.868,846.546,False,triclinic
mp-767707,Li2Fe5Si5O16,P1,-2.62,0point049,2.117,28,3.101,369.232,True,triclinic
mp-761382,Li2Fe3(Si3O8)2,P1,-2.817,0point05,2.826,54,3.088,651.656,True,triclinic
mp-762716,Li2Fe3(SiO4)2,P1,-2.482,0point051,2.23,45,3.204,568.378,True,triclinic
mp-780681,LiFe3(SiO4)2,P1,-2.468,0point058,0.631,42,3.133,570.329,True,triclinic
mp-763739,Li3Fe2(SiO4)2,P1,-2.565,0point059,1.14,15,3.034,173.298,True,triclinic
mp-761622,Li7Fe7SiO16,P1,-2.144,0point06,1.955,31,3.232,371.739,True,triclinic
mp-768001,Li6Fe(SiO4)2,P1,-2.595,0point063,3.736,17,2.678,174.618,True,triclinic
mp-772589,Li2Fe(Si2O5)2,P1,-2.911,0point064,3.079,34,2.633,431.422,False,triclinic
mp-764102,Li3Fe2(SiO4)2,P1,-2.558,0point066,0.931,30,2.911,361.337,True,triclinic
mp-761513,LiFeSi3O8,P1,-2.859,0point068,2.413,26,2.896,315.39,False,triclinic
mp-850922,Li3Fe2(SiO4)2,P1,-2.555,0point069,1.854,15,2.925,179.798,True,triclinic
mp-762655,LiFeSiO4,P1,-2.551,0point071,2.292,28,2.969,346.461,True,triclinic
mp-763637,Li4Fe2SiO7,P1,-2.356,0point071,1.851,14,3.787,122.581,True,triclinic
mp-767328,Li5Fe5Si7O24,P1,-2.647,0point072,2.373,41,2.501,593.87,True,triclinic
mp-868319,Li5Fe5Si7O24,P1,-2.646,0point072,2.598,41,2.546,583.402,True,triclinic
mp-863852,Li5Fe5Si7O24,P1,-2.646,0point073,2.391,41,2.55,582.533,True,triclinic
mp-772382,Li2FeSi3O8,P1,-2.833,0point076,3.041,14,2.524,185.499,True,triclinic
mp-766744,Li2Fe2Si4O11,P1,-2.768,0point081,0.0,38,2.958,464.73,True,triclinic
mp-779820,Li3Fe4(Si3O10)2,P1,-2.633,0point082,0.054,33,2.777,438.109,True,triclinic
mp-868418,Li2FeSi3O8,P1,-2.826,0point082,0.0,28,2.507,373.616,True,triclinic
mp-773385,Li3FeSiO5,P1,-2.486,0point083,2.254,20,3.575,171.619,True,triclinic
mp-767276,Li5Fe5Si7O24,P1,-2.635,0point084,1.827,41,2.433,610.604,True,triclinic
mp-762704,Li4Fe(SiO4)2,P1,-2.543,0point089,0.232,15,2.781,159.895,False,triclinic
mp-767753,Li2Fe2Si8O19,P1,-2.927,0point091,3.508,31,2.776,391.367,True,triclinic
mp-762705,Li3FeSiO5,P1,-2.474,0point094,2.173,20,3.615,169.712,True,triclinic
mp-762768,Li9Fe4(SiO5)4,P1,-2.391,0point094,0.005,37,2.617,455.754,False,triclinic
mp-778793,Li4Fe3(SiO4)3,P1,-2.524,0point099,0.976,22,3.031,258.368,True,triclinic
mp-761351,Li2Fe(Si2O5)3,P1,-2.882,0point104,0.189,24,2.624,302.599,False,triclinic
mp-761343,Li16Fe4SiO16,P1,-2.132,0point106,2.139,37,2.668,384.899,True,triclinic
mp-762762,LiFe2(SiO4)2,P1,-2.426,0point114,0.0,39,2.753,547.911,False,triclinic
mp-761348,Li7Fe7SiO16,P1,-2.087,0point118,1.492,31,3.233,371.607,True,triclinic
mp-763462,Li2Co3(SiO4)2,P1,-2.343,0point024,2.47,45,3.408,547.959,True,triclinic
mp-762851,Li3Co2(SiO4)2,P1,-2.441,0point055,0.376,15,3.088,173.602,True,triclinic
mp-764452,Li3Co2(SiO4)2,P1,-2.439,0point057,0.23,15,3.024,177.312,True,triclinic
mp-770682,Li2Co(Si2O5)2,P1,-2.862,0point07,3.06,34,2.74,418.368,True,triclinic
mp-764961,Li6Co(SiO4)2,P1,-2.545,0point071,2.685,17,2.753,171.772,True,triclinic
mp-849520,LiCo3(SiO4)2,P1,-2.25,0point076,0.005,42,3.318,552.402,True,triclinic
mp-849656,Li5Co4(Si3O10)2,P1,-2.529,0point082,0.176,35,2.94,428.648,True,triclinic
mp-763557,LiCoSiO4,P1,-2.348,0point087,1.333,14,2.451,214.044,True,triclinic
mp-767320,Li3Co2(SiO4)2,P1,-2.406,0point09,0.323,15,3.043,176.207,False,triclinic
